Team_quality,Opponent_quality,Match_location,Match_outcome,Shots_on_target,SFCA,Short_passes,Long_balls,Crosses,Aerial_success,Offsides,Tackles,Fouls,Yellow_cards,Set_piece
1,0,0,1,9,1,655,66,31,50,1,18,6,0,4
0,0,1,0,9,0,565,55,63,59,1,16,14,0,5
1,1,1,0,11,0,766,95,62,42,2,19,17,1,5
1,1,1,1,13,0,723,74,62,66,7,14,21,4,12
0,1,1,0,7,0,518,64,59,36,4,17,14,1,1
0,0,0,0,5,0,331,36,55,35,1,17,17,1,3
1,0,0,0,6,0,507,90,55,70,3,20,10,4,8
0,1,1,0,3,0,532,57,55,50,4,20,14,3,4
1,0,1,0,11,0,536,59,52,38,5,22,7,0,2
1,0,0,0,9,0,478,56,52,56,9,13,9,2,9
1,1,0,0,7,0,526,54,52,46,1,16,18,4,10
1,0,1,1,10,0,572,54,50,64,2,19,13,1,3
0,1,1,0,5,0,456,46,50,57,4,15,16,2,4
0,0,0,0,11,0,441,82,49,56,5,11,10,3,9
1,0,1,1,9,0,804,45,48,60,0,19,7,0,8
1,0,1,1,10,1,559,53,48,40,0,14,14,2,6
0,1,1,0,4,2,328,47,47,55,2,25,22,0,6
1,1,1,1,7,0,653,99,47,31,0,26,13,1,1
1,1,0,0,8,0,498,55,47,62,0,7,15,6,6
0,1,0,0,6,0,463,42,46,63,3,22,18,2,5
0,0,1,0,8,1,484,68,46,48,3,15,15,4,6
1,0,1,0,6,0,345,94,46,47,2,16,15,4,6
1,1,1,0,7,0,401,53,46,40,0,23,12,3,5
1,1,1,0,4,0,478,54,46,42,5,17,13,2,3
1,0,0,0,5,1,511,51,46,44,2,18,15,4,4
1,0,0,0,6,0,471,45,46,44,5,28,14,2,1
1,0,1,0,4,0,563,31,46,73,3,16,10,1,14
1,1,1,0,4,1,463,50,45,44,2,15,9,1,2
0,0,0,0,3,0,515,69,45,36,3,13,17,1,3
0,0,1,0,10,0,571,67,45,44,0,8,8,1,10
0,1,1,0,4,0,388,66,45,57,3,17,19,3,9
1,1,1,1,4,0,437,45,44,61,1,17,18,1,7
1,0,0,1,16,2,618,56,44,67,7,15,9,0,11
0,0,1,0,4,0,502,55,44,51,4,13,13,3,8
1,1,1,0,12,0,477,52,44,64,1,20,16,4,13
1,1,1,1,6,0,383,87,43,63,2,20,18,3,2
0,1,0,0,3,0,501,63,43,36,1,17,19,5,5
0,0,1,1,4,0,413,57,43,50,4,20,17,2,7
0,1,1,0,5,0,468,49,43,59,4,14,7,0,5
1,0,1,1,12,0,583,48,43,72,4,19,7,0,6
1,0,1,1,11,1,390,55,42,75,1,23,15,1,7
1,1,1,1,4,0,716,30,42,56,4,16,20,1,4
1,0,1,1,13,1,564,49,42,52,2,22,10,2,7
1,1,0,0,5,0,507,82,42,50,3,27,27,3,7
1,1,1,1,7,0,546,62,42,66,7,30,14,4,8
1,0,1,1,6,0,486,62,42,64,3,22,12,2,5
